CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;12/05/2022;21;0,153;;;R
ES0031405462253006LB0F;12/05/2022;22;0,487;;;R
ES0031405462253006LB0F;12/05/2022;23;0,127;;;R
ES0031405462253006LB0F;12/05/2022;24;0,13;;;R
ES0031405462253006LB0F;13/05/2022;1;0,104;;;R
ES0031405462253006LB0F;13/05/2022;2;0,067;;;R
ES0031405462253006LB0F;13/05/2022;3;0,092;;;R
ES0031405462253006LB0F;13/05/2022;4;0,045;;;R
ES0031405462253006LB0F;13/05/2022;5;0,064;;;R
ES0031405462253006LB0F;13/05/2022;6;0,077;;;R
ES0031405462253006LB0F;13/05/2022;7;0,04;;;R
ES0031405462253006LB0F;13/05/2022;8;0,072;;;R
ES0031405462253006LB0F;13/05/2022;9;0,175;;;R
ES0031405462253006LB0F;13/05/2022;10;0,252;;;R
ES0031405462253006LB0F;13/05/2022;11;0,147;;;R
ES0031405462253006LB0F;13/05/2022;12;0,11;;;R
ES0031405462253006LB0F;13/05/2022;13;0,105;;;R
ES0031405462253006LB0F;13/05/2022;14;0,11;;;R
ES0031405462253006LB0F;13/05/2022;15;0,05;;;R
ES0031405462253006LB0F;13/05/2022;16;0,099;;;R
ES0031405462253006LB0F;13/05/2022;17;0,093;;;R
ES0031405462253006LB0F;13/05/2022;18;0,1;;;R
ES0031405462253006LB0F;13/05/2022;19;0,143;;;R
ES0031405462253006LB0F;13/05/2022;20;0,056;;;R
ES0031405462253006LB0F;13/05/2022;21;0,062;;;R
ES0031405462253006LB0F;13/05/2022;22;0,364;;;R
ES0031405462253006LB0F;13/05/2022;23;0,13;;;R
ES0031405462253006LB0F;13/05/2022;24;0,112;;;R
ES0031405462253006LB0F;14/05/2022;1;0,082;;;R
ES0031405462253006LB0F;14/05/2022;2;0,061;;;R
ES0031405462253006LB0F;14/05/2022;3;0,087;;;R
ES0031405462253006LB0F;14/05/2022;4;0,04;;;R
ES0031405462253006LB0F;14/05/2022;5;0,071;;;R
ES0031405462253006LB0F;14/05/2022;6;0,061;;;R
ES0031405462253006LB0F;14/05/2022;7;0,052;;;R
ES0031405462253006LB0F;14/05/2022;8;0,079;;;R
ES0031405462253006LB0F;14/05/2022;9;0,172;;;R
ES0031405462253006LB0F;14/05/2022;10;0,267;;;R
ES0031405462253006LB0F;14/05/2022;11;0,075;;;R
ES0031405462253006LB0F;14/05/2022;12;0,035;;;R
ES0031405462253006LB0F;14/05/2022;13;0,073;;;R
ES0031405462253006LB0F;14/05/2022;14;0,07;;;R
ES0031405462253006LB0F;14/05/2022;15;0,038;;;R
ES0031405462253006LB0F;14/05/2022;16;0,709;;;R
ES0031405462253006LB0F;14/05/2022;17;0,081;;;R
ES0031405462253006LB0F;14/05/2022;18;0,113;;;R
ES0031405462253006LB0F;14/05/2022;19;0,074;;;R
ES0031405462253006LB0F;14/05/2022;20;0,056;;;R
ES0031405462253006LB0F;14/05/2022;21;0,083;;;R
ES0031405462253006LB0F;14/05/2022;22;0,033;;;R
ES0031405462253006LB0F;14/05/2022;23;0,078;;;R
